id,fecha,ticker,texto,etiqueta_consenso
t3_0008557,22/01/2021,GME,GME is trash but im holding anyway lmao 💎🙌,bull
t3_0100667,09/03/2021,AMC,"loaded up on AMC today, apes together strong 🦍",bull
t3_0033073,18/02/2021,GME,diamond hands on GME? more like paper hands incoming,bear
t3_0009552,22/01/2021,GME,check this https://t.co/abc123 not financial advice,neu
t3_0018807,26/01/2021,GME,"all in on GME leaps, retail is winning this one",bull
t3_0048370,07/04/2021,GME,GME 🚀🚀 puts and calls and whatever idk,neu
t3_0104371,02/04/2021,AMC,"$AMC again huh, this sub never sleeps",bear
t3_0084741,05/08/2021,GME,we like the stock 💎🙌 $GME price target 500 easy,bull
t3_0098798,18/02/2021,AMC,"$AMC chart looks crazy, anyone else seeing this",bear
t3_0066244,11/06/2021,GME,"$GME moon dump moon dump, pick one already",neu
t3_0090388,31/08/2021,GME,"GME moving a lot, volume is insane rn",bear
t3_0040156,09/03/2021,GME,"BB big buy on everything, no ticker here",neu
t3_0059556,19/05/2021,GME,"$GME again huh, this sub never sleeps",bear
t3_0004894,15/01/2021,GME,"$GME again huh, this sub never sleeps",bear
t3_0058288,13/05/2021,GME,"GME bagholders about to get wrecked, short it",bear
t3_0023695,29/01/2021,GME,🚀🚀🚀🚀🚀🚀 wen lambo 🦍🦍 to the mooooooon,neu
t3_0087709,18/08/2021,GME,any DD on $GME? new to this stock,neu
t3_0141097,29/06/2021,AMC,"$AMC moon dump moon dump, pick one already",neu
t3_0143812,23/07/2021,AMC,"watching $AMC closely, could go either way 👀",neu
t3_0014421,22/01/2021,GME,$GME going to zero... TO THE MOON 🚀 (im not selling),bull
t3_0028046,05/02/2021,GME,$GME to the moon 🚀 said the bagholder before the dump,bear
t3_0142077,07/07/2021,AMC,"holding a small AMC position, watching for now",neu
t3_0059413,19/05/2021,GME,$GME to the moon 🚀 said the bagholder before the dump,bear
t3_0027437,02/02/2021,GME,"GME is wild today, no idea where this goes",bear
t3_0054012,23/04/2021,GME,"BB big buy on everything, no ticker here",neu
t3_0038871,08/03/2021,GME,"hold $GME, never selling, this is the way",bull
t3_0147787,30/08/2021,AMC,"holding a small AMC position, watching for now",neu
t3_0051215,09/04/2021,GME,"GME moving a lot, volume is insane rn",bear
t3_0038985,08/03/2021,GME,"$GME breaking resistance, tendies on the way 🤑",bull
t3_0085065,06/08/2021,GME,"buying more $GME calls, this short squeeze is just starting",bull
t3_0061947,27/05/2021,GME,"GME moving a lot, volume is insane rn",bear
t3_0013785,22/01/2021,GME,GME is trash but im holding anyway lmao 💎🙌,bull
t3_0073439,28/06/2021,GME,"closed my GME position, momentum is gone",bear
t3_0108259,07/05/2021,AMC,"closed my AMC position, momentum is gone",bear
t3_0099917,02/03/2021,AMC,"this AMC pump is fake, insiders dumping on retail",bear
t3_0006673,18/01/2021,GME,"$GME again huh, this sub never sleeps",bear
t3_0028585,08/02/2021,GME,diamond hands on GME? more like paper hands incoming,bear
t3_0047315,05/04/2021,GME,"this GME pump is fake, insiders dumping on retail",bear
t3_0106427,20/04/2021,AMC,"$AMC chart looks crazy, anyone else seeing this",neu
t3_0054542,27/04/2021,GME,$GME going to zero... TO THE MOON 🚀 (im not selling),bull
t3_0144237,29/07/2021,AMC,"loaded up on AMC today, apes together strong 🦍",bull
t3_0066660,11/06/2021,GME,"loaded up on GME today, apes together strong 🦍",bull
t3_0020540,27/01/2021,GME,"$GME gamma squeeze incoming, hedgies are done. YOLO 100k",bull
t3_0091785,31/08/2021,GME,"$GME chart looks crazy, anyone else seeing this",bear
t3_0147237,27/08/2021,AMC,idk man AMC is doing AMC things,bear
t3_0044603,19/03/2021,GME,"GME is wild today, no idea where this goes",bear
t3_0124133,08/06/2021,AMC,"hold $AMC, never selling, this is the way",bull
t3_0082316,23/07/2021,GME,GME 🚀🚀 puts and calls and whatever idk,neu
t3_0081693,21/07/2021,GME,is $GME still being talked about here? asking,neu
t3_0057658,12/05/2021,GME,"watching $GME closely, could go either way 👀",bear
t3_0112427,01/06/2021,AMC,AMC is trash but im holding anyway lmao 💎🙌,bull
t3_0042571,10/03/2021,GME,"$GME moon dump moon dump, pick one already",neu
t3_0053042,20/04/2021,GME,$GME to the moon 🚀 said the bagholder before the dump,bear
t3_0075814,01/07/2021,GME,idk man GME is doing GME things,bear
t3_0028144,05/02/2021,GME,"puts on GME, the squeeze is over, dead cat bounce",bear
t3_0091744,31/08/2021,GME,buy the dip they said... GME keeps dipping 📉,bear
t3_0144294,29/07/2021,AMC,"sold all my $AMC, taking profits before the dump",bear
t3_0139626,17/06/2021,AMC,AMC 🚀🚀 puts and calls and whatever idk,neu
t3_0108879,12/05/2021,AMC,"$AMC chart looks crazy, anyone else seeing this",neu
t3_0074638,29/06/2021,GME,"$GME chart looks crazy, anyone else seeing this",bear
t3_0071544,25/06/2021,GME,"$GME chart looks crazy, anyone else seeing this",neu
t3_0109136,14/05/2021,AMC,"$AMC again huh, this sub never sleeps",bull
t3_0061533,26/05/2021,GME,idk man GME is doing GME things,bull
t3_0129816,08/06/2021,AMC,$AMC going to zero... TO THE MOON 🚀 (im not selling),bull
t3_0087439,18/08/2021,GME,"$GME options chain looks thin, low IV today",neu
t3_0075849,01/07/2021,GME,"$GME again huh, this sub never sleeps",bear
t3_0053876,22/04/2021,GME,"everyone says sell GME, so obviously i bought more",bull
t3_0009220,22/01/2021,GME,"$GME again huh, this sub never sleeps",bull
t3_0077816,06/07/2021,GME,"holding a small GME position, watching for now",neu
t3_0003009,14/01/2021,GME,"$GME is overvalued, this bubble will pop hard",bear
t3_0145886,16/08/2021,AMC,"holding a small AMC position, watching for now",neu
t3_0101954,19/03/2021,AMC,"$AMC chart looks crazy, anyone else seeing this",neu
t3_0113648,01/06/2021,AMC,"hold $AMC, never selling, this is the way",bull
t3_0034644,24/02/2021,GME,"BB big buy on everything, no ticker here",neu
t3_0002846,14/01/2021,GME,"holding a small GME position, watching for now",neu
t3_0108013,06/05/2021,AMC,🚀🚀🚀🚀🚀🚀 wen lambo 🦍🦍 to the mooooooon,neu
t3_0140502,24/06/2021,AMC,"holding a small AMC position, watching for now",neu
t3_0096609,12/02/2021,AMC,buy the dip they said... AMC keeps dipping 📉,bear
t3_0134234,09/06/2021,AMC,"hold $AMC, never selling, this is the way",bull
t3_0102780,26/03/2021,AMC,"closed my AMC position, momentum is gone",bear
t3_0104436,02/04/2021,AMC,$AMC to the moon 🚀 said the bagholder before the dump,bear
t3_0090428,31/08/2021,GME,"GME is wild today, no idea where this goes",bear
t3_0082227,23/07/2021,GME,$GME to the moon 🚀 said the bagholder before the dump,bear
t3_0108519,10/05/2021,AMC,"$AMC going back to single digits, bearish af",bear
t3_0046612,01/04/2021,GME,buy the dip they said... GME keeps dipping 📉,bear
t3_0055937,04/05/2021,GME,"watching $GME closely, could go either way 👀",neu
t3_0002729,14/01/2021,GME,"$GME is overvalued, this bubble will pop hard",bear
t3_0066637,11/06/2021,GME,"GME moving a lot, volume is insane rn",neu
t3_0112535,01/06/2021,AMC,"loaded up on AMC today, apes together strong 🦍",bull
t3_0110403,28/05/2021,AMC,$AMC going to zero... TO THE MOON 🚀 (im not selling),bull
t3_0067383,14/06/2021,GME,we like the stock 💎🙌 $GME price target 500 easy,bull
t3_0124035,08/06/2021,AMC,"AMC moving a lot, volume is insane rn",bull
t3_0023794,29/01/2021,GME,"$GME chart looks crazy, anyone else seeing this",neu
t3_0044881,22/03/2021,GME,any DD on $GME? new to this stock,neu
t3_0109451,19/05/2021,AMC,AMC 🚀🚀 puts and calls and whatever idk,neu
t3_0111568,31/05/2021,AMC,anyone have the AMC float numbers handy,neu
t3_0104081,02/04/2021,AMC,"$AMC chart looks crazy, anyone else seeing this",bear
t3_0048261,07/04/2021,GME,idk man GME is doing GME things,bear
t3_0005039,15/01/2021,GME,lol GME just game me some tendies bro 😂,neu
t3_0098941,19/02/2021,AMC,diamond hands on AMC? more like paper hands incoming,bear
t3_0011751,22/01/2021,GME,GME to the moon 🚀🚀 diamond hands hold the line,bull
t3_0064031,04/06/2021,GME,"GME moving a lot, volume is insane rn",bull
t3_0026292,29/01/2021,GME,🚀🚀🚀🚀🚀🚀 wen lambo 🦍🦍 to the mooooooon,neu
t3_0091996,04/01/2021,AMC,"$AMC going back to single digits, bearish af",bear
t3_0053769,22/04/2021,GME,idk man GME is doing GME things,neu
t3_0056930,07/05/2021,GME,"GME moving a lot, volume is insane rn",bear
t3_0005949,18/01/2021,GME,"GME volume looks normal today, sideways action",neu
t3_0129709,08/06/2021,AMC,"buying more $AMC calls, this short squeeze is just starting",bull
t3_0021251,27/01/2021,GME,"$GME gamma squeeze incoming, hedgies are done. YOLO 100k",bull
t3_0045389,24/03/2021,GME,"GME moving a lot, volume is insane rn",neu
t3_0116878,03/06/2021,AMC,"neutral on AMC, waiting for a clearer signal",neu
t3_0010700,22/01/2021,GME,"$GME chart looks crazy, anyone else seeing this",bull
t3_0123098,08/06/2021,AMC,check this https://t.co/abc123 not financial advice,neu
t3_0030787,12/02/2021,GME,idk man GME is doing GME things,bull
t3_0096895,15/02/2021,AMC,diamond hands on AMC? more like paper hands incoming,bear
t3_0059598,19/05/2021,GME,$GME to the moon 🚀 said the bagholder before the dump,bear
t3_0028681,08/02/2021,GME,"watching $GME closely, could go either way 👀",bear
t3_0021045,27/01/2021,GME,GME 🚀🚀 puts and calls and whatever idk,neu
t3_0032471,16/02/2021,GME,"watching $GME closely, could go either way 👀",bear
t3_0072579,28/06/2021,GME,"$GME again huh, this sub never sleeps",bear
t3_0059333,19/05/2021,GME,"GME volume looks normal today, sideways action",neu
t3_0101415,16/03/2021,AMC,"$AMC again huh, this sub never sleeps",neu
t3_0002068,14/01/2021,GME,"puts on GME, the squeeze is over, dead cat bounce",bear
t3_0005676,18/01/2021,GME,"$GME chart looks crazy, anyone else seeing this",bear
t3_0119352,07/06/2021,AMC,$AMC going to zero... TO THE MOON 🚀 (im not selling),bull
t3_0029452,09/02/2021,GME,"GME moving a lot, volume is insane rn",bear
t3_0000615,06/01/2021,GME,idk man GME is doing GME things,bear
t3_0003834,14/01/2021,GME,"closed my GME position, momentum is gone",bear
t3_0114594,02/06/2021,AMC,"watching $AMC closely, could go either way 👀",bull
t3_0139278,16/06/2021,AMC,"AMC is wild today, no idea where this goes",bear
t3_0086886,16/08/2021,GME,"GME is wild today, no idea where this goes",neu
t3_0043873,16/03/2021,GME,"BB big buy on everything, no ticker here",neu
t3_0074998,29/06/2021,GME,is $GME still being talked about here? asking,neu
t3_0063789,04/06/2021,GME,"buying more $GME calls, this short squeeze is just starting",bull
t3_0040584,09/03/2021,GME,"buying more $GME calls, this short squeeze is just starting",bull
t3_0064526,08/06/2021,GME,GME 🚀🚀 puts and calls and whatever idk,neu
t3_0075579,30/06/2021,GME,"everyone says sell GME, so obviously i bought more",bull
t3_0116817,03/06/2021,AMC,what do you guys think about AMC earnings next week,neu
t3_0018976,26/01/2021,GME,"$GME breaking resistance, tendies on the way 🤑",bull
t3_0071639,25/06/2021,GME,"watching $GME closely, could go either way 👀",bear
t3_0124447,08/06/2021,AMC,lol GME just game me some tendies bro 😂,neu
t3_0112443,01/06/2021,AMC,"AMC moving a lot, volume is insane rn",bull
t3_0056701,06/05/2021,GME,"neutral on GME, waiting for a clearer signal",neu
t3_0096887,15/02/2021,AMC,"this AMC pump is fake, insiders dumping on retail",bear
t3_0125803,08/06/2021,AMC,AMC to the moon 🚀🚀 diamond hands hold the line,bull
t3_0080932,16/07/2021,GME,buy the dip they said... GME keeps dipping 📉,bear
t3_0054417,27/04/2021,GME,"GME is wild today, no idea where this goes",bull
t3_0095003,29/01/2021,AMC,"$AMC is overvalued, this bubble will pop hard",bear
t3_0085314,09/08/2021,GME,"holding a small GME position, watching for now",neu
t3_0142487,09/07/2021,AMC,idk man AMC is doing AMC things,bear
t3_0039826,09/03/2021,GME,"hold $GME, never selling, this is the way",bull
t3_0036022,02/03/2021,GME,"hold $GME, never selling, this is the way",bull
t3_0099399,25/02/2021,AMC,"shorting $AMC here, fundamentals are trash",bear
t3_0044784,22/03/2021,GME,GME 🚀🚀 puts and calls and whatever idk,neu
t3_0057708,12/05/2021,GME,"GME moving a lot, volume is insane rn",neu
t3_0037818,08/03/2021,GME,"buying more $GME calls, this short squeeze is just starting",bull
t3_0000146,04/01/2021,GME,"$GME again huh, this sub never sleeps",bear
t3_0085556,10/08/2021,GME,"GME moving a lot, volume is insane rn",bull
t3_0097018,15/02/2021,AMC,$AMC to the moon 🚀 said the bagholder before the dump,bear
t3_0077958,06/07/2021,GME,🚀🚀🚀🚀🚀🚀 wen lambo 🦍🦍 to the mooooooon,neu
t3_0087479,18/08/2021,GME,idk man GME is doing GME things,bull
t3_0063637,03/06/2021,GME,check this https://t.co/abc123 not financial advice,neu
t3_0023620,28/01/2021,GME,idk man GME is doing GME things,bull
t3_0033288,19/02/2021,GME,"GME is wild today, no idea where this goes",bull
t3_0060043,24/05/2021,GME,"BB big buy on everything, no ticker here",neu
t3_0089551,27/08/2021,GME,"$GME chart looks crazy, anyone else seeing this",bear
t3_0088099,20/08/2021,GME,"$GME chart looks crazy, anyone else seeing this",bear
t3_0006115,18/01/2021,GME,idk man GME is doing GME things,bear
t3_0105451,12/04/2021,AMC,AMC 🚀🚀 puts and calls and whatever idk,neu
t3_0056974,07/05/2021,GME,"watching $GME closely, could go either way 👀",bear
t3_0119723,07/06/2021,AMC,idk man AMC is doing AMC things,neu
t3_0132140,09/06/2021,AMC,idk man AMC is doing AMC things,bull
t3_0085017,06/08/2021,GME,"GME is wild today, no idea where this goes",bear
t3_0030077,11/02/2021,GME,"holding a small GME position, watching for now",neu
t3_0008797,22/01/2021,GME,"$GME chart looks crazy, anyone else seeing this",neu
t3_0099095,23/02/2021,AMC,"$AMC chart looks crazy, anyone else seeing this",bear
t3_0011140,22/01/2021,GME,"GME moving a lot, volume is insane rn",bull
t3_0018920,26/01/2021,GME,"loaded up on GME today, apes together strong 🦍",bull
t3_0053739,22/04/2021,GME,"$GME moon dump moon dump, pick one already",neu
t3_0001945,13/01/2021,GME,is $GME still being talked about here? asking,neu
t3_0144742,03/08/2021,AMC,"$AMC chart looks crazy, anyone else seeing this",neu
t3_0099576,25/02/2021,AMC,AMC 🚀🚀 puts and calls and whatever idk,neu
t3_0001470,11/01/2021,GME,"GME moving a lot, volume is insane rn",neu
t3_0142477,09/07/2021,AMC,what do you guys think about AMC earnings next week,neu
t3_0039375,09/03/2021,GME,"watching $GME closely, could go either way 👀",bull
t3_0022084,28/01/2021,GME,"$GME again huh, this sub never sleeps",bull
t3_0005149,15/01/2021,GME,"GME moving a lot, volume is insane rn",bear
t3_0037534,08/03/2021,GME,"watching $GME closely, could go either way 👀",bull
t3_0032744,18/02/2021,GME,"GME is wild today, no idea where this goes",bear
t3_0048328,07/04/2021,GME,"GME bagholders about to get wrecked, short it",bear
t3_0033689,19/02/2021,GME,we like the stock 💎🙌 $GME price target 500 easy,bull
t3_0037005,04/03/2021,GME,what do you guys think about GME earnings next week,neu
t3_0109674,21/05/2021,AMC,"$AMC moon dump moon dump, pick one already",neu
t3_0022484,28/01/2021,GME,🚀🚀🚀🚀🚀🚀 wen lambo 🦍🦍 to the mooooooon,neu
t3_0034992,25/02/2021,GME,"watching $GME closely, could go either way 👀",bull
t3_0048648,07/04/2021,GME,"this GME pump is fake, insiders dumping on retail",bear
t3_0103120,26/03/2021,AMC,buy the dip they said... AMC keeps dipping 📉,bear
t3_0124071,08/06/2021,AMC,"buying more $AMC calls, this short squeeze is just starting",bull
t3_0062583,31/05/2021,GME,idk man GME is doing GME things,bear
t3_0069148,16/06/2021,GME,diamond hands on GME? more like paper hands incoming,bear
t3_0068126,14/06/2021,GME,GME is trash but im holding anyway lmao 💎🙌,bull
t3_0133077,09/06/2021,AMC,idk man AMC is doing AMC things,bull
t3_0110489,28/05/2021,AMC,"AMC is wild today, no idea where this goes",neu
t3_0021744,28/01/2021,GME,"$GME moon dump moon dump, pick one already",neu
t3_0082548,26/07/2021,GME,"$GME chart looks crazy, anyone else seeing this",neu
t3_0077393,05/07/2021,GME,"puts on GME, the squeeze is over, dead cat bounce",bear
t3_0083098,28/07/2021,GME,"$GME moon dump moon dump, pick one already",neu
t3_0077965,06/07/2021,GME,"$GME again huh, this sub never sleeps",neu
t3_0019573,26/01/2021,GME,"buying more $GME calls, this short squeeze is just starting",bull
t3_0089358,26/08/2021,GME,"GME is wild today, no idea where this goes",bear
t3_0141374,30/06/2021,AMC,anyone have the AMC float numbers handy,neu
t3_0096880,15/02/2021,AMC,"$AMC again huh, this sub never sleeps",bear
t3_0132447,09/06/2021,AMC,"buying more $AMC calls, this short squeeze is just starting",bull
t3_0083889,30/07/2021,GME,$GME going to zero... TO THE MOON 🚀 (im not selling),bull
t3_0078364,08/07/2021,GME,"hold $GME, never selling, this is the way",bull
t3_0120495,07/06/2021,AMC,what do you guys think about AMC earnings next week,neu
t3_0050744,09/04/2021,GME,"$GME chart looks crazy, anyone else seeing this",bear
t3_0021262,27/01/2021,GME,"$GME chart looks crazy, anyone else seeing this",neu
t3_0023669,28/01/2021,GME,check this https://t.co/abc123 not financial advice,neu
t3_0057108,10/05/2021,GME,"$GME chart looks crazy, anyone else seeing this",neu
t3_0105296,08/04/2021,AMC,"$AMC is overvalued, this bubble will pop hard",bear
t3_0088589,24/08/2021,GME,$GME going to zero... TO THE MOON 🚀 (im not selling),bull
t3_0095611,05/02/2021,AMC,"$AMC gamma squeeze incoming, hedgies are done. YOLO 100k",bull
t3_0103766,01/04/2021,AMC,anyone have the AMC float numbers handy,neu
t3_0002091,14/01/2021,GME,"GME is wild today, no idea where this goes",bear
t3_0110334,28/05/2021,AMC,"$AMC again huh, this sub never sleeps",bull
t3_0007652,19/01/2021,GME,check this https://t.co/abc123 not financial advice,neu
t3_0046940,05/04/2021,GME,"holding a small GME position, watching for now",neu
t3_0089407,26/08/2021,GME,anyone have the GME float numbers handy,neu
t3_0133869,09/06/2021,AMC,AMC to the moon 🚀🚀 diamond hands hold the line,bull
t3_0026444,29/01/2021,GME,"$GME again huh, this sub never sleeps",bull
t3_0007464,19/01/2021,GME,"$GME gamma squeeze incoming, hedgies are done. YOLO 100k",bull
t3_0051117,09/04/2021,GME,"$GME chart looks crazy, anyone else seeing this",bear
t3_0055659,03/05/2021,GME,"GME moving a lot, volume is insane rn",bull
t3_0090151,30/08/2021,GME,"$GME chart looks crazy, anyone else seeing this",neu
t3_0050838,09/04/2021,GME,"$GME again huh, this sub never sleeps",bear
t3_0119316,07/06/2021,AMC,"AMC moving a lot, volume is insane rn",bull
t3_0087980,19/08/2021,GME,"everyone says sell GME, so obviously i bought more",bull
t3_0110436,28/05/2021,AMC,"AMC moving a lot, volume is insane rn",bull
t3_0076911,02/07/2021,GME,"$GME chart looks crazy, anyone else seeing this",bear
t3_0043941,16/03/2021,GME,idk man GME is doing GME things,bear
t3_0083993,30/07/2021,GME,"all in on GME leaps, retail is winning this one",bull
t3_0136376,09/06/2021,AMC,we like the stock 💎🙌 $AMC price target 500 easy,bull
t3_0014998,22/01/2021,GME,"watching $GME closely, could go either way 👀",bull
t3_0052638,16/04/2021,GME,"$GME again huh, this sub never sleeps",bull
t3_0051238,09/04/2021,GME,"$GME chart looks crazy, anyone else seeing this",bear
t3_0091228,31/08/2021,GME,"GME bagholders about to get wrecked, short it",bear
t3_0077868,06/07/2021,GME,"$GME again huh, this sub never sleeps",bear
t3_0032019,16/02/2021,GME,buy the dip they said... GME keeps dipping 📉,bear
t3_0091921,31/08/2021,GME,"$GME is overvalued, this bubble will pop hard",bear
t3_0003176,14/01/2021,GME,idk man GME is doing GME things,bear
t3_0099752,01/03/2021,AMC,"$AMC moon dump moon dump, pick one already",neu
t3_0033951,22/02/2021,GME,"BB big buy on everything, no ticker here",neu
t3_0122529,08/06/2021,AMC,AMC to the moon 🚀🚀 diamond hands hold the line,bull
t3_0032405,16/02/2021,GME,"sold all my $GME, taking profits before the dump",bear
t3_0018956,26/01/2021,GME,we like the stock 💎🙌 $GME price target 500 easy,bull
t3_0125723,08/06/2021,AMC,"loaded up on AMC today, apes together strong 🦍",bull
t3_0070501,22/06/2021,GME,"GME volume looks normal today, sideways action",neu
t3_0014157,22/01/2021,GME,"$GME moon dump moon dump, pick one already",neu
t3_0103819,02/04/2021,AMC,$AMC to the moon 🚀 said the bagholder before the dump,bear
t3_0007598,19/01/2021,GME,"GME moving a lot, volume is insane rn",bear
t3_0006832,18/01/2021,GME,idk man GME is doing GME things,bear
t3_0017613,26/01/2021,GME,"GME is wild today, no idea where this goes",bull
t3_0014631,22/01/2021,GME,we like the stock 💎🙌 $GME price target 500 easy,bull
t3_0129502,08/06/2021,AMC,"AMC is wild today, no idea where this goes",bull
t3_0009956,22/01/2021,GME,"GME moving a lot, volume is insane rn",bull
t3_0028990,09/02/2021,GME,"$GME again huh, this sub never sleeps",bull
t3_0091649,31/08/2021,GME,$GME to the moon 🚀 said the bagholder before the dump,bear
t3_0041693,10/03/2021,GME,"$GME again huh, this sub never sleeps",neu
t3_0049854,08/04/2021,GME,"$GME chart looks crazy, anyone else seeing this",bear
t3_0135285,09/06/2021,AMC,"AMC is wild today, no idea where this goes",bull
t3_0108399,10/05/2021,AMC,"AMC is wild today, no idea where this goes",bull
t3_0055897,04/05/2021,GME,"$GME chart looks crazy, anyone else seeing this",neu
t3_0044245,18/03/2021,GME,"$GME moon dump moon dump, pick one already",neu
t3_0127497,08/06/2021,AMC,idk man AMC is doing AMC things,bull
t3_0079615,13/07/2021,GME,idk man GME is doing GME things,bear
t3_0021206,27/01/2021,GME,"$GME chart looks crazy, anyone else seeing this",bull
t3_0061426,26/05/2021,GME,"watching $GME closely, could go either way 👀",bull
t3_0020508,27/01/2021,GME,"$GME gamma squeeze incoming, hedgies are done. YOLO 100k",bull
t3_0091013,31/08/2021,GME,check this https://t.co/abc123 not financial advice,neu
t3_0047131,05/04/2021,GME,"$GME moon dump moon dump, pick one already",neu
t3_0037812,08/03/2021,GME,"GME volume looks normal today, sideways action",neu
t3_0052406,16/04/2021,GME,GME is trash but im holding anyway lmao 💎🙌,bull
t3_0071822,25/06/2021,GME,"$GME going back to single digits, bearish af",bear
t3_0091445,31/08/2021,GME,"GME moving a lot, volume is insane rn",bear
t3_0093579,18/01/2021,AMC,"puts on AMC, the squeeze is over, dead cat bounce",bear
t3_0007609,19/01/2021,GME,"this GME pump is fake, insiders dumping on retail",bear
t3_0063273,02/06/2021,GME,"$GME chart looks crazy, anyone else seeing this",bull
t3_0064327,07/06/2021,GME,"$GME again huh, this sub never sleeps",bear
t3_0083356,28/07/2021,GME,"neutral on GME, waiting for a clearer signal",neu
t3_0097649,15/02/2021,AMC,"AMC is wild today, no idea where this goes",bear
t3_0030426,11/02/2021,GME,🚀🚀🚀🚀🚀🚀 wen lambo 🦍🦍 to the mooooooon,neu
t3_0016739,25/01/2021,GME,"GME moving a lot, volume is insane rn",bull
t3_0105749,14/04/2021,AMC,"AMC moving a lot, volume is insane rn",neu
t3_0133581,09/06/2021,AMC,"holding a small AMC position, watching for now",neu
t3_0001672,12/01/2021,GME,buy the dip they said... GME keeps dipping 📉,bear
t3_0075266,29/06/2021,GME,"puts on GME, the squeeze is over, dead cat bounce",bear
t3_0145314,10/08/2021,AMC,"AMC moving a lot, volume is insane rn",neu
t3_0058572,14/05/2021,GME,"$GME moon dump moon dump, pick one already",neu
t3_0059691,20/05/2021,GME,"GME is wild today, no idea where this goes",neu
t3_0059076,18/05/2021,GME,"GME bagholders about to get wrecked, short it",bear
t3_0022112,28/01/2021,GME,"$GME chart looks crazy, anyone else seeing this",bull
t3_0050211,09/04/2021,GME,"neutral on GME, waiting for a clearer signal",neu
t3_0011873,22/01/2021,GME,"GME is wild today, no idea where this goes",bull
t3_0129370,08/06/2021,AMC,"AMC is wild today, no idea where this goes",neu
t3_0027011,01/02/2021,GME,"closed my GME position, momentum is gone",bear
t3_0138808,14/06/2021,AMC,"$AMC moon dump moon dump, pick one already",neu
t3_0047151,05/04/2021,GME,"$GME again huh, this sub never sleeps",neu
t3_0046900,05/04/2021,GME,"this GME pump is fake, insiders dumping on retail",bear
t3_0046121,30/03/2021,GME,diamond hands on GME? more like paper hands incoming,bear
t3_0059535,19/05/2021,GME,$GME going to zero... TO THE MOON 🚀 (im not selling),bull
t3_0067361,14/06/2021,GME,GME is trash but im holding anyway lmao 💎🙌,bull
t3_0097246,15/02/2021,AMC,"AMC moving a lot, volume is insane rn",bear
t3_0144631,02/08/2021,AMC,"$AMC gamma squeeze incoming, hedgies are done. YOLO 100k",bull
t3_0017150,26/01/2021,GME,"GME is wild today, no idea where this goes",bull
t3_0047090,05/04/2021,GME,"GME bagholders about to get wrecked, short it",bear
t3_0046984,05/04/2021,GME,"$GME chart looks crazy, anyone else seeing this",bear
t3_0027449,02/02/2021,GME,lol GME just game me some tendies bro 😂,neu
t3_0012067,22/01/2021,GME,"GME moving a lot, volume is insane rn",bull
t3_0129805,08/06/2021,AMC,"everyone says sell AMC, so obviously i bought more",bull
t3_0082192,23/07/2021,GME,"$GME again huh, this sub never sleeps",bear
