fecha,ticker,n_bull,n_bear,n_neu,n_total,ISN
25/03/2021,GME,55,54,61,170,0.0059
26/03/2021,GME,52,99,73,224,-0.2098
29/03/2021,GME,88,44,80,212,0.2075
30/03/2021,GME,67,56,65,188,0.0585
31/03/2021,GME,79,52,70,201,0.1343
01/04/2021,GME,58,49,65,172,0.0523
02/04/2021,GME,59,65,58,182,-0.033
05/04/2021,GME,41,402,145,588,-0.6139
06/04/2021,GME,41,229,144,414,-0.4541
07/04/2021,GME,30,720,212,962,-0.7173
08/04/2021,GME,24,1059,236,1319,-0.7847
09/04/2021,GME,23,872,234,1129,-0.752
12/04/2021,GME,110,47,80,237,0.2658
13/04/2021,GME,165,43,106,314,0.3885
14/04/2021,GME,93,51,79,223,0.1883
15/04/2021,GME,127,41,83,251,0.3426
16/04/2021,GME,342,30,140,512,0.6094
19/04/2021,GME,96,38,68,202,0.2871
20/04/2021,GME,45,269,133,447,-0.5011
21/04/2021,GME,39,145,104,288,-0.3681
22/04/2021,GME,77,40,63,180,0.2056
23/04/2021,GME,63,43,60,166,0.1205
26/04/2021,GME,82,43,99,224,0.1741
27/04/2021,GME,252,39,128,419,0.5084
28/04/2021,GME,293,48,146,487,0.5031
29/04/2021,GME,79,55,96,230,0.1043
30/04/2021,GME,98,43,72,213,0.2582
03/05/2021,GME,103,42,73,218,0.2798
04/05/2021,GME,87,53,87,227,0.1498
05/05/2021,GME,124,52,100,276,0.2609
06/05/2021,GME,218,36,132,386,0.4715
07/05/2021,GME,40,147,87,274,-0.3905
10/05/2021,GME,43,102,89,234,-0.2521
11/05/2021,GME,53,192,126,371,-0.3747
12/05/2021,GME,57,142,100,299,-0.2843
13/05/2021,GME,277,33,153,463,0.527
14/05/2021,GME,133,44,102,279,0.319
17/05/2021,GME,54,87,106,247,-0.1336
18/05/2021,GME,47,180,134,361,-0.3684
19/05/2021,GME,44,210,110,364,-0.456
20/05/2021,GME,71,50,65,186,0.1129
21/05/2021,GME,52,38,60,150,0.0933
24/05/2021,GME,54,52,62,168,0.0119
25/05/2021,GME,485,43,149,677,0.6529
26/05/2021,GME,696,20,210,926,0.73
27/05/2021,GME,49,89,87,225,-0.1778
28/05/2021,GME,42,144,80,266,-0.3835
31/05/2021,GME,28,519,190,737,-0.6662
01/06/2021,GME,44,93,93,230,-0.213
02/06/2021,GME,176,32,89,297,0.4848
03/06/2021,GME,78,43,84,205,0.1707
04/06/2021,GME,325,46,157,528,0.5284
07/06/2021,GME,97,55,93,245,0.1714
08/06/2021,GME,53,78,77,208,-0.1202
09/06/2021,GME,584,29,171,784,0.7079
10/06/2021,GME,58,46,53,157,0.0764
11/06/2021,GME,1263,29,264,1556,0.7931
14/06/2021,GME,887,32,204,1123,0.7614
15/06/2021,GME,412,36,146,594,0.633
16/06/2021,GME,250,43,106,399,0.5188
17/06/2021,GME,42,283,119,444,-0.5428
18/06/2021,GME,36,241,125,402,-0.51
21/06/2021,GME,47,62,45,154,-0.0974
22/06/2021,GME,83,48,84,215,0.1628
23/06/2021,GME,54,91,80,225,-0.1644
24/06/2021,GME,44,183,110,337,-0.4125
25/06/2021,GME,18,858,229,1105,-0.7602
28/06/2021,GME,18,1858,346,2222,-0.8281
29/06/2021,GME,31,669,182,882,-0.7234
30/06/2021,GME,56,162,94,312,-0.3397
01/07/2021,GME,33,988,258,1279,-0.7467
02/07/2021,GME,34,225,150,409,-0.467
05/07/2021,GME,46,100,82,228,-0.2368
06/07/2021,GME,32,351,143,526,-0.6065
07/07/2021,GME,48,166,99,313,-0.377
08/07/2021,GME,46,95,83,224,-0.2188
09/07/2021,GME,41,401,137,579,-0.6218
12/07/2021,GME,130,43,96,269,0.3234
13/07/2021,GME,45,111,93,249,-0.2651
14/07/2021,GME,174,47,97,318,0.3994
15/07/2021,GME,37,476,148,661,-0.6641
16/07/2021,GME,52,186,96,334,-0.4012
19/07/2021,GME,102,47,86,235,0.234
20/07/2021,GME,70,49,62,181,0.116
21/07/2021,GME,42,167,101,310,-0.4032
22/07/2021,GME,47,89,104,240,-0.175
23/07/2021,GME,32,350,138,520,-0.6115
26/07/2021,GME,48,234,114,396,-0.4697
27/07/2021,GME,81,48,73,202,0.1634
28/07/2021,GME,149,62,120,331,0.2628
29/07/2021,GME,42,65,70,177,-0.1299
30/07/2021,GME,261,40,141,442,0.5
02/08/2021,GME,63,51,68,182,0.0659
03/08/2021,GME,128,61,99,288,0.2326
04/08/2021,GME,87,54,80,221,0.1493
05/08/2021,GME,67,81,85,233,-0.0601
06/08/2021,GME,44,60,67,171,-0.0936
09/08/2021,GME,89,48,84,221,0.1855
10/08/2021,GME,123,35,87,245,0.3592
11/08/2021,GME,527,30,177,734,0.6771
12/08/2021,GME,133,52,102,287,0.2822
13/08/2021,GME,43,67,65,175,-0.1371
16/08/2021,GME,52,95,80,227,-0.1894
17/08/2021,GME,55,78,69,202,-0.1139
18/08/2021,GME,484,23,178,685,0.673
19/08/2021,GME,52,53,54,159,-0.0063
20/08/2021,GME,47,107,85,239,-0.251
23/08/2021,GME,175,38,91,304,0.4507
24/08/2021,GME,41,218,114,373,-0.4745
25/08/2021,GME,48,172,129,349,-0.3553
26/08/2021,GME,38,95,96,229,-0.2489
27/08/2021,GME,46,123,92,261,-0.295
30/08/2021,GME,41,229,114,384,-0.4896
31/08/2021,GME,20,1461,295,1776,-0.8114
04/01/2021,AMC,21,39,34,94,-0.1915
05/01/2021,AMC,26,34,38,98,-0.0816
06/01/2021,AMC,25,20,31,76,0.0658
07/01/2021,AMC,20,37,34,91,-0.1868
08/01/2021,AMC,39,22,48,109,0.156
11/01/2021,AMC,106,17,78,201,0.4428
12/01/2021,AMC,350,19,85,454,0.7291
13/01/2021,AMC,21,36,38,95,-0.1579
14/01/2021,AMC,58,10,50,118,0.4068
15/01/2021,AMC,82,17,54,153,0.4248
18/01/2021,AMC,18,76,41,135,-0.4296
19/01/2021,AMC,21,61,57,139,-0.2878
20/01/2021,AMC,27,42,29,98,-0.1531
21/01/2021,AMC,65,22,39,126,0.3413
22/01/2021,AMC,46,25,31,102,0.2059
25/01/2021,AMC,378,11,77,466,0.7876
26/01/2021,AMC,42,23,30,95,0.2
27/01/2021,AMC,43,25,47,115,0.1565
28/01/2021,AMC,119,19,68,206,0.4854
29/01/2021,AMC,51,32,50,133,0.1429
01/02/2021,AMC,89,31,47,167,0.3473
02/02/2021,AMC,44,19,46,109,0.2294
03/02/2021,AMC,52,22,39,113,0.2655
04/02/2021,AMC,38,32,32,102,0.0588
05/02/2021,AMC,62,22,42,126,0.3175
08/02/2021,AMC,48,24,33,105,0.2286
09/02/2021,AMC,17,151,84,252,-0.5317
10/02/2021,AMC,18,72,47,137,-0.3942
11/02/2021,AMC,14,199,74,287,-0.6446
12/02/2021,AMC,24,197,66,287,-0.6028
15/02/2021,AMC,5,1280,177,1462,-0.8721
16/02/2021,AMC,21,245,97,363,-0.6171
17/02/2021,AMC,26,78,56,160,-0.325
18/02/2021,AMC,32,24,23,79,0.1013
19/02/2021,AMC,28,73,55,156,-0.2885
22/02/2021,AMC,19,52,33,104,-0.3173
23/02/2021,AMC,24,53,55,132,-0.2197
24/02/2021,AMC,9,108,53,170,-0.5824
25/02/2021,AMC,22,133,71,226,-0.4912
26/02/2021,AMC,23,27,32,82,-0.0488
01/03/2021,AMC,24,96,56,176,-0.4091
02/03/2021,AMC,28,166,74,268,-0.5149
03/03/2021,AMC,18,25,30,73,-0.0959
04/03/2021,AMC,27,19,40,86,0.093
05/03/2021,AMC,27,48,41,116,-0.181
08/03/2021,AMC,69,14,40,123,0.4472
09/03/2021,AMC,120,20,61,201,0.4975
10/03/2021,AMC,30,18,32,80,0.15
11/03/2021,AMC,47,27,25,99,0.202
12/03/2021,AMC,23,171,86,280,-0.5286
15/03/2021,AMC,22,86,47,155,-0.4129
16/03/2021,AMC,18,60,54,132,-0.3182
17/03/2021,AMC,56,17,38,111,0.3514
18/03/2021,AMC,227,19,82,328,0.6341
19/03/2021,AMC,31,31,37,99,0
22/03/2021,AMC,75,24,51,150,0.34
23/03/2021,AMC,20,59,37,116,-0.3362
24/03/2021,AMC,23,221,72,316,-0.6266
25/03/2021,AMC,21,76,47,144,-0.3819
26/03/2021,AMC,12,449,112,573,-0.7627
29/03/2021,AMC,28,82,45,155,-0.3484
30/03/2021,AMC,20,60,41,121,-0.3306
31/03/2021,AMC,76,17,42,135,0.437
01/04/2021,AMC,22,26,37,85,-0.0471
02/04/2021,AMC,12,628,136,776,-0.7938
05/04/2021,AMC,16,217,90,323,-0.6223
06/04/2021,AMC,15,128,51,194,-0.5825
07/04/2021,AMC,20,31,34,85,-0.1294
08/04/2021,AMC,25,77,29,131,-0.3969
09/04/2021,AMC,21,39,41,101,-0.1782
12/04/2021,AMC,54,23,41,118,0.2627
13/04/2021,AMC,104,18,60,182,0.4725
14/04/2021,AMC,21,16,37,74,0.0676
15/04/2021,AMC,16,114,57,187,-0.5241
16/04/2021,AMC,27,72,45,144,-0.3125
19/04/2021,AMC,139,19,76,234,0.5128
20/04/2021,AMC,49,22,38,109,0.2477
21/04/2021,AMC,106,27,59,192,0.4115
22/04/2021,AMC,56,20,57,133,0.2707
23/04/2021,AMC,53,17,32,102,0.3529
26/04/2021,AMC,61,30,49,140,0.2214
27/04/2021,AMC,55,22,51,128,0.2578
28/04/2021,AMC,69,20,53,142,0.3451
29/04/2021,AMC,40,28,34,102,0.1176
30/04/2021,AMC,162,28,69,259,0.5174
03/05/2021,AMC,29,27,31,87,0.023
04/05/2021,AMC,22,35,38,95,-0.1368
05/05/2021,AMC,25,59,50,134,-0.2537
06/05/2021,AMC,19,67,54,140,-0.3429
07/05/2021,AMC,24,157,65,246,-0.5407
10/05/2021,AMC,24,113,52,189,-0.4709
11/05/2021,AMC,26,163,71,260,-0.5269
12/05/2021,AMC,73,20,49,142,0.3732
13/05/2021,AMC,29,34,35,98,-0.051
14/05/2021,AMC,44,24,33,101,0.198
17/05/2021,AMC,28,50,47,125,-0.176
18/05/2021,AMC,42,15,39,96,0.2812
19/05/2021,AMC,22,68,52,142,-0.3239
20/05/2021,AMC,21,70,52,143,-0.3427
21/05/2021,AMC,17,43,34,94,-0.2766
24/05/2021,AMC,90,27,48,165,0.3818
25/05/2021,AMC,21,39,43,103,-0.1748
26/05/2021,AMC,48,33,42,123,0.122
27/05/2021,AMC,24,28,48,100,-0.04
28/05/2021,AMC,576,19,133,728,0.7651
31/05/2021,AMC,585,14,144,743,0.7685
01/06/2021,AMC,2213,9,236,2458,0.8967
02/06/2021,AMC,1416,6,208,1630,0.865
03/06/2021,AMC,1093,8,169,1270,0.8543
04/06/2021,AMC,1759,9,220,1988,0.8803
07/06/2021,AMC,3091,2,325,3418,0.9037
08/06/2021,AMC,7433,5,615,8053,0.9224
09/06/2021,AMC,5681,4,519,6204,0.9151
10/06/2021,AMC,1166,12,188,1366,0.8448
11/06/2021,AMC,483,16,99,598,0.7809
14/06/2021,AMC,24,169,76,269,-0.539
15/06/2021,AMC,18,157,63,238,-0.584
16/06/2021,AMC,14,203,84,301,-0.6279
17/06/2021,AMC,13,234,92,339,-0.6519
18/06/2021,AMC,18,149,71,238,-0.5504
21/06/2021,AMC,19,109,53,181,-0.4972
22/06/2021,AMC,14,40,34,88,-0.2955
23/06/2021,AMC,33,28,33,94,0.0532
24/06/2021,AMC,159,20,54,233,0.5966
25/06/2021,AMC,74,27,58,159,0.2956
28/06/2021,AMC,114,21,60,195,0.4769
29/06/2021,AMC,24,96,51,171,-0.4211
30/06/2021,AMC,20,130,75,225,-0.4889
01/07/2021,AMC,16,135,47,198,-0.601
02/07/2021,AMC,117,24,57,198,0.4697
05/07/2021,AMC,28,56,30,114,-0.2456
06/07/2021,AMC,19,35,40,94,-0.1702
07/07/2021,AMC,24,87,43,154,-0.4091
08/07/2021,AMC,13,129,68,210,-0.5524
09/07/2021,AMC,27,48,44,119,-0.1765
12/07/2021,AMC,35,14,26,75,0.28
13/07/2021,AMC,70,24,46,140,0.3286
14/07/2021,AMC,126,19,55,200,0.535
15/07/2021,AMC,25,24,31,80,0.0125
16/07/2021,AMC,16,115,65,196,-0.5051
19/07/2021,AMC,24,46,43,113,-0.1947
20/07/2021,AMC,23,134,59,216,-0.5139
21/07/2021,AMC,24,72,45,141,-0.3404
22/07/2021,AMC,32,19,37,88,0.1477
23/07/2021,AMC,24,28,46,98,-0.0408
26/07/2021,AMC,23,17,24,64,0.0938
27/07/2021,AMC,23,41,33,97,-0.1856
28/07/2021,AMC,15,111,52,178,-0.5393
29/07/2021,AMC,47,16,39,102,0.3039
30/07/2021,AMC,90,22,41,153,0.4444
02/08/2021,AMC,172,23,60,255,0.5843
03/08/2021,AMC,23,45,35,103,-0.2136
04/08/2021,AMC,23,32,37,92,-0.0978
05/08/2021,AMC,20,28,20,68,-0.1176
06/08/2021,AMC,25,61,37,123,-0.2927
09/08/2021,AMC,29,46,47,122,-0.1393
10/08/2021,AMC,57,15,51,123,0.3415
11/08/2021,AMC,34,30,15,79,0.0506
12/08/2021,AMC,27,83,59,169,-0.3314
13/08/2021,AMC,11,199,65,275,-0.6836
16/08/2021,AMC,23,18,34,75,0.0667
17/08/2021,AMC,28,62,47,137,-0.2482
18/08/2021,AMC,28,41,22,91,-0.1429
19/08/2021,AMC,65,25,48,138,0.2899
20/08/2021,AMC,18,151,67,236,-0.5636
23/08/2021,AMC,35,23,42,100,0.12
24/08/2021,AMC,30,40,31,101,-0.099
25/08/2021,AMC,20,200,81,301,-0.598
26/08/2021,AMC,20,41,51,112,-0.1875
27/08/2021,AMC,21,304,108,433,-0.6536
30/08/2021,AMC,11,447,116,574,-0.7596
31/08/2021,AMC,34,68,53,155,-0.2194
