fecha,ticker,apertura,alto,bajo,cierre,volumen
02/06/2021,GME,57.07,57.49,55.41,56.8,128845336
03/06/2021,GME,55.22,57.23,54.11,56.29,81808055
04/06/2021,GME,50.45,50.97,48.98,49.97,137498897
07/06/2021,GME,46.83,47.99,45.86,46.36,110174216
08/06/2021,GME,45.61,48.28,45.4,45.69,51297989
09/06/2021,GME,56.59,57.46,55.12,56.25,208377895
10/06/2021,GME,60.12,63.74,58.51,60.69,36874656
11/06/2021,GME,54.26,54.93,52.8,53.14,216590704
14/06/2021,GME,59.97,60.61,59.15,59.36,205706165
15/06/2021,GME,61.61,62.62,60.88,62.08,125817248
16/06/2021,GME,57.89,58.62,57.48,58.53,101205662
17/06/2021,GME,62.96,64.18,61.11,61.64,99197399
18/06/2021,GME,60.72,62.32,60.04,60.12,149856924
21/06/2021,GME,73.29,73.39,71.96,72.49,27210774
22/06/2021,GME,59.73,60.81,59.53,60.43,63146262
23/06/2021,GME,54.67,55.1,53.48,54.31,48707196
24/06/2021,GME,46.73,47.55,46.66,47.41,99074055
25/06/2021,GME,49.24,51.26,46.66,47.54,224631394
28/06/2021,GME,47.86,48.96,47.09,47.76,237618118
29/06/2021,GME,47.01,47.21,45.21,46.77,160093817
30/06/2021,GME,44.68,44.81,43.05,43.97,90972070
01/07/2021,GME,43.61,43.89,42.96,43.11,212322002
02/07/2021,GME,38.58,39.4,37.2,38.87,105325130
05/07/2021,GME,38.05,38.7,37.95,38.37,95321286
06/07/2021,GME,42.29,42.64,41.73,42.07,202231423
07/07/2021,GME,35.75,36.21,35.44,35.5,73721562
08/07/2021,GME,33.44,33.64,32.78,33.61,82727662
09/07/2021,GME,32.27,32.94,31.87,32.86,186479796
12/07/2021,GME,33.22,34.17,32.6,33.87,80569748
13/07/2021,GME,34.37,34.45,33.35,34.35,63368508
14/07/2021,GME,31.43,31.83,30.03,31.08,110002285
15/07/2021,GME,32.38,32.84,32.34,32.62,200684246
16/07/2021,GME,30.78,31.67,30.42,30.96,115640065
19/07/2021,GME,30.89,31.04,30.32,30.53,84230943
20/07/2021,GME,35.49,35.86,34.75,35.51,86464834
21/07/2021,GME,39.37,40.38,39.31,39.57,76406214
22/07/2021,GME,47.73,49.38,46.87,48.71,58630467
23/07/2021,GME,50.35,50.43,49.1,50.23,160124963
26/07/2021,GME,50.14,50.95,49.7,49.76,103537010
27/07/2021,GME,45.65,45.89,45.61,45.65,43931714
28/07/2021,GME,50.76,51.95,49.13,50.9,85432811
29/07/2021,GME,48.21,50.38,48.18,49.01,38947373
30/07/2021,GME,48.39,49.3,46.93,48.38,109151683
02/08/2021,GME,46.71,47.46,46.19,46.38,25080489
03/08/2021,GME,41.5,42.12,40.17,41.03,102839243
04/08/2021,GME,39.42,41.07,39.13,40.1,48877145
05/08/2021,GME,39.03,39.11,37.41,38.29,45833199
06/08/2021,GME,47,48.22,46.84,47.31,25962758
09/08/2021,GME,50.14,52.19,49.42,50.4,89512659
10/08/2021,GME,54.76,56.57,53.36,54.77,82569953
11/08/2021,GME,62.12,62.19,60.43,60.7,194213284
12/08/2021,GME,63.23,64.34,62.13,62.68,95071162
13/08/2021,GME,69.01,70.88,66.15,68.16,43698242
16/08/2021,GME,71.39,74.09,68.39,69.26,98109558
17/08/2021,GME,66.44,67.46,64.8,66.55,52871681
18/08/2021,GME,58.62,59.01,58.04,58.98,155434922
19/08/2021,GME,69.68,72.27,68.53,70.29,12792473
20/08/2021,GME,78.33,78.74,75.25,77.16,84965430
23/08/2021,GME,70.83,72.75,70.48,71.84,117914773
24/08/2021,GME,71.19,72.96,71.19,72.32,104426904
25/08/2021,GME,77.9,80.84,77.14,80.28,79298351
26/08/2021,GME,80.83,81.27,80.22,81.06,76255199
27/08/2021,GME,94.74,99.41,93.96,96.13,96276448
30/08/2021,GME,65.85,66.37,65.65,65.99,156378651
31/08/2021,GME,71.14,74.58,69.74,72.06,224096026
04/01/2021,AMC,1.99,2.04,1.97,2,47680720
05/01/2021,AMC,2.51,2.52,2.47,2.52,94256033
06/01/2021,AMC,2.22,2.26,2.18,2.23,26158656
07/01/2021,AMC,2.18,2.22,2.1,2.19,71462463
08/01/2021,AMC,1.85,1.86,1.81,1.82,34112784
11/01/2021,AMC,1.58,1.63,1.54,1.57,90324111
12/01/2021,AMC,1.41,1.44,1.39,1.41,196062287
13/01/2021,AMC,1.56,1.58,1.55,1.55,67848292
14/01/2021,AMC,1.42,1.42,1.41,1.41,90147031
15/01/2021,AMC,1.29,1.32,1.28,1.29,83051161
18/01/2021,AMC,1.39,1.4,1.36,1.4,115702642
19/01/2021,AMC,1.41,1.43,1.35,1.37,110426664
20/01/2021,AMC,1.49,1.52,1.46,1.5,72347343
21/01/2021,AMC,1.65,1.65,1.65,1.65,99253554
22/01/2021,AMC,1.42,1.48,1.4,1.42,49184626
25/01/2021,AMC,1.37,1.39,1.34,1.37,160200391
26/01/2021,AMC,1.41,1.44,1.32,1.37,46484009
27/01/2021,AMC,1.45,1.45,1.4,1.44,58019004
28/01/2021,AMC,1.18,1.23,1.14,1.22,95729064
29/01/2021,AMC,1.31,1.33,1.27,1.3,62794175
01/02/2021,AMC,1.47,1.51,1.46,1.5,102544238
02/02/2021,AMC,1.33,1.38,1.32,1.34,98132058
03/02/2021,AMC,1.47,1.53,1.45,1.46,53713701
04/02/2021,AMC,1.86,1.88,1.83,1.87,75386030
05/02/2021,AMC,1.65,1.68,1.6,1.62,78841081
08/02/2021,AMC,1.65,1.67,1.61,1.64,51806444
09/02/2021,AMC,1.47,1.52,1.41,1.49,110244659
10/02/2021,AMC,1.37,1.39,1.32,1.34,98436401
11/02/2021,AMC,1.3,1.31,1.29,1.29,127119711
12/02/2021,AMC,1.25,1.25,1.24,1.25,125215359
15/02/2021,AMC,1.29,1.31,1.25,1.3,247348653
16/02/2021,AMC,1.24,1.25,1.21,1.22,189108708
17/02/2021,AMC,1.22,1.27,1.16,1.19,78342673
18/02/2021,AMC,1.39,1.41,1.35,1.35,27107428
19/02/2021,AMC,1.54,1.54,1.46,1.51,82230316
22/02/2021,AMC,1.45,1.46,1.43,1.43,94308840
23/02/2021,AMC,1.25,1.28,1.18,1.21,96616084
24/02/2021,AMC,1.03,1.05,1,1.02,92739714
25/02/2021,AMC,0.97,0.98,0.94,0.96,123023269
26/02/2021,AMC,1.06,1.08,1.03,1.05,31540188
01/03/2021,AMC,1.45,1.47,1.42,1.45,127510249
02/03/2021,AMC,1.2,1.25,1.17,1.23,203375742
03/03/2021,AMC,0.84,0.85,0.82,0.83,35694382
04/03/2021,AMC,0.93,0.93,0.89,0.91,32635605
05/03/2021,AMC,0.99,1.02,0.99,0.99,64259891
08/03/2021,AMC,0.91,0.91,0.89,0.9,60096079
09/03/2021,AMC,0.81,0.85,0.8,0.82,100938768
10/03/2021,AMC,0.78,0.8,0.77,0.77,42855274
11/03/2021,AMC,0.74,0.74,0.71,0.72,32636078
12/03/2021,AMC,0.77,0.79,0.76,0.77,171979408
15/03/2021,AMC,0.74,0.75,0.73,0.73,144682410
16/03/2021,AMC,0.64,0.64,0.63,0.64,194662890
17/03/2021,AMC,0.65,0.65,0.63,0.65,129599117
18/03/2021,AMC,0.6,0.6,0.6,0.6,154898793
19/03/2021,AMC,0.66,0.69,0.65,0.67,60464848
22/03/2021,AMC,0.69,0.71,0.69,0.71,76260802
23/03/2021,AMC,0.53,0.53,0.51,0.53,94264494
24/03/2021,AMC,0.54,0.54,0.53,0.54,149116670
25/03/2021,AMC,0.43,0.45,0.43,0.43,100104646
26/03/2021,AMC,0.35,0.35,0.34,0.35,211777047
29/03/2021,AMC,0.25,0.25,0.25,0.25,99953351
30/03/2021,AMC,0.27,0.27,0.26,0.27,98903063
31/03/2021,AMC,0.25,0.26,0.25,0.25,101015534
01/04/2021,AMC,0.3,0.3,0.29,0.3,47400637
02/04/2021,AMC,0.28,0.28,0.28,0.28,215801045
05/04/2021,AMC,0.26,0.26,0.25,0.26,147667228
06/04/2021,AMC,0.29,0.29,0.28,0.28,79442796
07/04/2021,AMC,0.27,0.28,0.27,0.27,57697592
08/04/2021,AMC,0.28,0.28,0.28,0.28,74651193
09/04/2021,AMC,0.27,0.27,0.26,0.26,60684813
12/04/2021,AMC,0.25,0.26,0.25,0.26,96550120
13/04/2021,AMC,0.26,0.27,0.26,0.26,118337925
14/04/2021,AMC,0.24,0.25,0.24,0.24,21921842
15/04/2021,AMC,0.2,0.21,0.2,0.2,120169061
16/04/2021,AMC,0.17,0.17,0.17,0.17,105395202
19/04/2021,AMC,0.14,0.14,0.14,0.14,108941161
20/04/2021,AMC,0.15,0.15,0.15,0.15,72783724
21/04/2021,AMC,0.17,0.17,0.17,0.17,92673419
22/04/2021,AMC,0.18,0.18,0.18,0.18,71522496
23/04/2021,AMC,0.2,0.21,0.2,0.2,105185860
26/04/2021,AMC,0.18,0.18,0.18,0.18,111803944
27/04/2021,AMC,0.15,0.15,0.15,0.15,54990182
28/04/2021,AMC,0.2,0.2,0.2,0.2,86857306
29/04/2021,AMC,0.17,0.17,0.17,0.17,40723959
30/04/2021,AMC,0.14,0.14,0.14,0.14,129175635
03/05/2021,AMC,0.15,0.15,0.14,0.14,28297472
04/05/2021,AMC,0.16,0.16,0.16,0.16,48304260
05/05/2021,AMC,0.12,0.12,0.12,0.12,56951592
06/05/2021,AMC,0.11,0.11,0.11,0.11,61899260
07/05/2021,AMC,0.1,0.1,0.1,0.1,151456778
10/05/2021,AMC,0.07,0.07,0.07,0.07,91104228
11/05/2021,AMC,0.07,0.07,0.07,0.07,177851260
12/05/2021,AMC,0.06,0.06,0.06,0.06,66571963
13/05/2021,AMC,0.08,0.08,0.08,0.08,49360795
14/05/2021,AMC,0.07,0.07,0.07,0.07,55656500
17/05/2021,AMC,0.08,0.08,0.08,0.08,111269269
18/05/2021,AMC,0.08,0.08,0.08,0.08,35151626
19/05/2021,AMC,0.07,0.07,0.07,0.07,91217167
20/05/2021,AMC,0.07,0.07,0.07,0.07,66691075
21/05/2021,AMC,0.06,0.06,0.06,0.06,46479526
24/05/2021,AMC,0.06,0.06,0.06,0.06,121666245
25/05/2021,AMC,0.06,0.06,0.06,0.06,73992557
26/05/2021,AMC,0.06,0.06,0.06,0.06,58627445
27/05/2021,AMC,0.06,0.06,0.06,0.06,11577243
28/05/2021,AMC,0.06,0.06,0.06,0.06,253078685
31/05/2021,AMC,0.06,0.06,0.06,0.06,207617104
01/06/2021,AMC,0.07,0.07,0.07,0.07,306076240
02/06/2021,AMC,0.07,0.07,0.07,0.07,277968028
03/06/2021,AMC,0.07,0.07,0.07,0.07,236658828
04/06/2021,AMC,0.09,0.09,0.09,0.09,261669040
07/06/2021,AMC,0.12,0.12,0.12,0.12,333569565
08/06/2021,AMC,0.14,0.14,0.14,0.14,421179992
09/06/2021,AMC,0.15,0.15,0.15,0.15,356201031
10/06/2021,AMC,0.18,0.18,0.18,0.18,247440426
11/06/2021,AMC,0.21,0.21,0.21,0.21,211173664
14/06/2021,AMC,0.21,0.22,0.21,0.21,150792163
15/06/2021,AMC,0.2,0.21,0.2,0.21,113007201
16/06/2021,AMC,0.21,0.22,0.21,0.21,151030568
17/06/2021,AMC,0.25,0.25,0.24,0.25,140597677
18/06/2021,AMC,0.24,0.26,0.23,0.25,201767121
21/06/2021,AMC,0.2,0.22,0.19,0.21,106473889
22/06/2021,AMC,0.17,0.17,0.16,0.17,53069003
23/06/2021,AMC,0.18,0.19,0.18,0.19,28954071
24/06/2021,AMC,0.16,0.17,0.16,0.16,144774169
25/06/2021,AMC,0.17,0.17,0.17,0.17,89533301
28/06/2021,AMC,0.17,0.17,0.17,0.17,183943494
29/06/2021,AMC,0.16,0.16,0.16,0.16,125406817
30/06/2021,AMC,0.15,0.15,0.15,0.15,98031931
01/07/2021,AMC,0.18,0.18,0.18,0.18,165478700
02/07/2021,AMC,0.17,0.17,0.17,0.17,88651500
05/07/2021,AMC,0.19,0.19,0.19,0.19,46542960
06/07/2021,AMC,0.19,0.19,0.19,0.19,96253376
07/07/2021,AMC,0.22,0.22,0.22,0.22,95635153
08/07/2021,AMC,0.21,0.21,0.21,0.21,86122265
09/07/2021,AMC,0.25,0.25,0.25,0.25,41127140
12/07/2021,AMC,0.21,0.21,0.2,0.21,78187089
13/07/2021,AMC,0.24,0.25,0.23,0.24,176706156
14/07/2021,AMC,0.26,0.26,0.26,0.26,92828160
15/07/2021,AMC,0.26,0.28,0.26,0.27,85088987
16/07/2021,AMC,0.27,0.28,0.27,0.27,102794410
19/07/2021,AMC,0.27,0.28,0.26,0.27,106088323
20/07/2021,AMC,0.27,0.27,0.26,0.26,154556893
21/07/2021,AMC,0.2,0.2,0.2,0.2,62307349
22/07/2021,AMC,0.19,0.2,0.19,0.19,62110491
23/07/2021,AMC,0.22,0.22,0.22,0.22,73535322
26/07/2021,AMC,0.22,0.23,0.22,0.22,16309926
27/07/2021,AMC,0.21,0.21,0.21,0.21,81218937
28/07/2021,AMC,0.18,0.19,0.18,0.18,70949625
29/07/2021,AMC,0.2,0.21,0.2,0.2,40405277
30/07/2021,AMC,0.22,0.22,0.22,0.22,114857856
02/08/2021,AMC,0.21,0.21,0.21,0.21,131153489
03/08/2021,AMC,0.2,0.2,0.2,0.2,161438995
04/08/2021,AMC,0.21,0.21,0.2,0.2,55670229
05/08/2021,AMC,0.21,0.21,0.21,0.21,29662847
06/08/2021,AMC,0.23,0.23,0.23,0.23,78453926
09/08/2021,AMC,0.18,0.19,0.17,0.18,55640902
10/08/2021,AMC,0.15,0.15,0.15,0.15,141020992
11/08/2021,AMC,0.13,0.13,0.13,0.13,25253822
12/08/2021,AMC,0.13,0.14,0.13,0.13,66196011
13/08/2021,AMC,0.11,0.11,0.11,0.11,116393719
16/08/2021,AMC,0.11,0.11,0.11,0.11,79159124
17/08/2021,AMC,0.1,0.1,0.1,0.1,65615561
18/08/2021,AMC,0.09,0.09,0.09,0.09,40694913
19/08/2021,AMC,0.07,0.07,0.07,0.07,87545703
20/08/2021,AMC,0.08,0.08,0.08,0.08,104403521
23/08/2021,AMC,0.05,0.05,0.05,0.05,31410354
24/08/2021,AMC,0.05,0.05,0.05,0.05,27266871
25/08/2021,AMC,0.06,0.06,0.06,0.06,193477452
26/08/2021,AMC,0.07,0.07,0.07,0.07,43652481
27/08/2021,AMC,0.08,0.08,0.08,0.08,222277999
30/08/2021,AMC,0.07,0.07,0.07,0.07,195391129
31/08/2021,AMC,0.06,0.06,0.06,0.06,63787597
